region,value,year
10036,733,2019.5
11385,706,2019.5
11220,615,2019.5
11368,606,2019.5
10019,600,2019.5
11214,576,2019.5
10314,574,2019.5
11223,564,2019.5
11235,560,2019.5
11218,559,2019.5
11234,549,2019.5
10001,548,2019.5
11372,541,2019.5
10467,526,2019.5
11207,516,2019.5
11377,498,2019.5
11229,493,2019.5
10002,482,2019.5
11208,480,2019.5
10003,479,2019.5
11230,479,2019.5
11354,475,2019.5
10458,468,2019.5
10025,467,2019.5
11226,466,2019.5
10462,466,2019.5
11209,465,2019.5
11101,460,2019.5
10011,455,2019.5
11432,448,2019.5
11211,448,2019.5
10456,445,2019.5
11215,440,2019.5
11419,433,2019.5
10452,430,2019.5
10016,427,2019.5
10453,424,2019.5
10461,424,2019.5
10013,422,2019.5
11373,419,2019.5
10022,417,2019.5
10029,409,2019.5
10457,408,2019.5
11204,405,2019.5
10017,404,2019.5
11236,392,2019.5
11435,391,2019.5
11103,389,2019.5
10018,387,2019.5
11201,380,2019.5
10472,378,2019.5
11219,374,2019.5
11212,373,2019.5
10469,367,2019.5
11355,363,2019.5
10306,363,2019.5
11221,361,2019.5
11375,357,2019.5
10468,354,2019.5
11222,346,2019.5
10027,345,2019.5
10023,343,2019.5
11378,341,2019.5
10024,340,2019.5
11203,339,2019.5
10305,322,2019.5
11237,322,2019.5
11206,320,2019.5
10014,320,2019.5
11418,320,2019.5
11105,320,2019.5
10009,308,2019.5
11420,305,2019.5
10031,301,2019.5
10463,299,2019.5
11106,296,2019.5
11434,295,2019.5
10460,292,2019.5
10128,292,2019.5
10466,292,2019.5
10451,291,2019.5
10312,290,2019.5
11216,289,2019.5
10010,285,2019.5
10455,285,2019.5
10033,280,2019.5
10459,280,2019.5
10028,275,2019.5
11238,274,2019.5
11232,274,2019.5
10021,272,2019.5
10309,269,2019.5
10310,259,2019.5
10032,257,2019.5
11210,252,2019.5
11217,251,2019.5
11374,247,2019.5
10026,246,2019.5
11379,243,2019.5
11213,242,2019.5
10012,241,2019.5
10065,240,2019.5
11357,240,2019.5
10304,239,2019.5
10301,236,2019.5
11233,236,2019.5
11231,235,2019.5
11102,232,2019.5
11358,230,2019.5
10465,229,2019.5
11417,229,2019.5
11421,225,2019.5
10034,225,2019.5
10035,221,2019.5
10303,220,2019.5
11225,215,2019.5
11224,215,2019.5
11416,214,2019.5
10473,208,2019.5
10040,207,2019.5
11433,206,2019.5
11228,205,2019.5
10302,202,2019.5
11365,201,2019.5
11104,194,2019.5
10454,191,2019.5
11205,189,2019.5
11361,187,2019.5
10038,186,2019.5
11423,178,2019.5
11413,176,2019.5
10475,170,2019.5
11414,168,2019.5
10075,164,2019.5
11040,164,2019.5
11412,155,2019.5
11356,151,2019.5
11364,150,2019.5
10474,148,2019.5
11367,144,2019.5
11691,142,2019.5
10030,142,2019.5
10308,138,2019.5
10007,137,2019.5
11580,135,2019.5
11429,134,2019.5
11428,132,2019.5
11249,130,2019.5
10039,130,2019.5
11369,127,2019.5
10704,123,2019.5
11426,119,2019.5
11422,117,2019.5
11370,116,2019.5
11366,109,2019.5
10037,102,2019.5
11694,100,2019.5
10470,100,2019.5
10004,98,2019.5
10307,94,2019.5
11427,93,2019.5
11415,92,2019.5
11362,90,2019.5
10005,86,2019.5
11436,86,2019.5
10550,83,2019.5
10701,80,2019.5
10471,80,2019.5
11003,78,2019.5
11590,77,2019.5
11001,77,2019.5
11693,77,2019.5
11801,76,2019.5
11004,74,2019.5
11520,72,2019.5
11411,70,2019.5
11729,70,2019.5
11746,69,2019.5
10801,68,2019.5
11501,64,2019.5
11735,62,2019.5
11714,61,2019.5
11550,60,2019.5
11010,58,2019.5
11360,58,2019.5
11581,57,2019.5
10705,56,2019.5
11572,56,2019.5
11756,56,2019.5
11710,52,2019.5
11530,52,2019.5
11239,51,2019.5
11692,49,2019.5
10977,48,2019.5
11554,47,2019.5
07093,46,2019.5
11430,46,2019.5
11706,45,2019.5
11803,44,2019.5
10710,43,2019.5
11552,43,2019.5
11510,42,2019.5
10020,42,2019.5
11561,40,2019.5
11758,40,2019.5
11757,39,2019.5
10006,39,2019.5
11747,39,2019.5
10541,38,2019.5
11021,37,2019.5
11096,36,2019.5
11779,36,2019.5
07004,35,2019.5
10708,35,2019.5
07306,35,2019.5
11743,32,2019.5
11542,31,2019.5
11791,31,2019.5
10583,31,2019.5
07047,30,2019.5
11793,29,2019.5
11563,29,2019.5
10464,28,2019.5
11701,28,2019.5
11566,28,2019.5
10956,26,2019.5
11704,26,2019.5
10965,26,2019.5
07111,25,2019.5
11507,25,2019.5
10603,24,2019.5
11363,24,2019.5
10598,24,2019.5
11717,24,2019.5
10280,24,2019.5
10805,24,2019.5
07727,24,2019.5
10573,23,2019.5
11570,23,2019.5
10579,23,2019.5
07087,23,2019.5
11553,23,2019.5
11598,22,2019.5
11516,22,2019.5
10552,22,2019.5
10803,21,2019.5
10703,21,2019.5
07304,21,2019.5
07103,21,2019.5
10119,20,2019.5
11577,20,2019.5
11050,20,2019.5
10069,20,2019.5
11596,20,2019.5
10707,19,2019.5
11725,19,2019.5
11726,19,2019.5
10044,19,2019.5
08857,19,2019.5
10562,19,2019.5
07601,19,2019.5
11030,19,2019.5
10604,19,2019.5
12533,18,2019.5
07410,18,2019.5
11787,18,2019.5
10523,18,2019.5
14221,18,2019.5
11023,18,2019.5
11371,18,2019.5
11762,17,2019.5
11753,17,2019.5
07666,17,2019.5
10566,17,2019.5
10543,17,2019.5
11716,17,2019.5
10553,17,2019.5
10512,17,2019.5
10282,16,2019.5
07070,16,2019.5
11575,16,2019.5
10954,16,2019.5
07010,16,2019.5
07632,16,2019.5
10709,16,2019.5
11783,16,2019.5
11558,16,2019.5
11741,15,2019.5
07086,15,2019.5
